time,open,high,low,close,Volume,Volume MA
1675418700,21751,21755,21749,21749,77,NaN
1675419000,21750,21754,21744,21752,140,NaN
1675419300,21751,21766,21745,21759,142,NaN
1675419600,21759,21764,21742,21762,156,NaN
1675419900,21762,21773,21759,21767,114,NaN
1675420200,21769,21778,21765,21770,131,NaN
1675420500,21770,21785,21769,21785,129,NaN
1675420800,21785,21792,21780,21790,265,NaN
1675421100,21792,21797,21789,21794,135,NaN
1675421400,21793,21797,21791,21795,132,NaN
1675421700,21792,21798,21791,21794,119,NaN
1675422000,21792,21792,21774,21777,96,NaN
1675422300,21777,21777,21767,21771,86,NaN
1675422600,21772,21777,21767,21777,44,NaN
1675422900,21775,21777,21770,21777,79,NaN
1675423200,21776,21777,21765,21768,116,NaN
1675423500,21768,21779,21768,21779,49,NaN
1675423800,21780,21803,21780,21796,158,NaN
1675424100,21797,21799,21791,21795,81,NaN
1675424400,21797,21799,21790,21790,49,NaN
1675424700,21787,21789,21763,21780,170,NaN
1675425000,21780,21791,21779,21781,117,NaN
1675425300,21779,21779,21770,21771,35,NaN
1675425600,21773,21786,21766,21770,135,NaN
1675425900,21768,21783,21768,21779,64,NaN
1675426200,21775,21781,21775,21778,51,NaN
1675426500,21776,21782,21768,21773,29,NaN
1675426800,21770,21777,21770,21776,19,NaN
1675427100,21773,21780,21772,21780,24,NaN
1675427400,21777,21782,21773,21782,32,NaN
1675427700,21781,21782,21774,21781,39,NaN
1675428000,21781,21783,21777,21778,49,NaN
1675428300,21778,21785,21778,21782,95,NaN
1675428600,21781,21784,21778,21783,56,NaN
1675428900,21784,21785,21777,21784,67,NaN
1675429200,21784,21785,21776,21781,69,NaN
1675429500,21782,21785,21781,21783,38,NaN
1675429800,21787,21787,21780,21783,55,NaN
1675430100,21781,21784,21767,21771,82,NaN
1675430400,21769,21775,21762,21766,86,NaN
1675430700,21764,21785,21763,21779,174,NaN
1675431000,21781,21783,21700,21714,1051,NaN
1675431300,21718,21718,21670,21706,364,NaN
1675431600,21705,21708,21656,21670,239,NaN
1675431900,21668,21684,21640,21648,279,NaN
1675432200,21646,21675,21635,21665,203,NaN
1675432500,21662,21670,21635,21654,202,NaN
1675432800,21654,21694,21640,21685,207,NaN
1675433100,21680,21681,21651,21654,126,NaN
1675433400,21653,21678,21652,21662,103,NaN
1675433700,21660,21668,21647,21656,112,NaN
1675434000,21655,21658,21640,21646,146,NaN
1675434300,21647,21657,21637,21646,154,NaN
1675434600,21645,21691,21602,21668,875,NaN
1675434900,21673,21712,21632,21705,438,NaN
1675435200,21705,21726,21688,21708,401,NaN
1675435500,21714,21761,21708,21743,497,NaN
1675435800,21741,21742,21681,21684,475,NaN
1675436100,21685,21696,21661,21666,277,NaN
1675436400,21665,21665,21578,21590,989,NaN
1675436700,21588,21588,21521,21522,863,NaN
1675437000,21521,21590,21512,21590,580,NaN
1675437300,21587,21617,21573,21591,476,NaN
1675437600,21594,21637,21594,21636,326,NaN
1675437900,21637,21646,21612,21612,304,NaN
1675438200,21610,21659,21595,21658,221,NaN
1675438500,21656,21683,21646,21673,337,NaN
1675438800,21672,21707,21671,21687,422,NaN
1675439100,21689,21702,21681,21687,231,NaN
1675439400,21686,21686,21638,21643,362,NaN
1675439700,21643,21659,21627,21638,294,NaN
1675440000,21640,21661,21635,21636,322,NaN
1675440300,21635,21644,21613,21622,188,NaN
1675440600,21623,21641,21622,21634,95,NaN
1675440900,21636,21642,21622,21633,133,NaN
1675441200,21633,21649,21633,21648,194,NaN
1675441500,21648,21658,21644,21653,141,NaN
1675441800,21655,21670,21642,21646,135,NaN
1675442100,21644,21647,21613,21619,192,NaN
1675442400,21617,21638,21617,21626,58,NaN
1675442700,21624,21630,21599,21603,95,NaN
1675443000,21595,21630,21595,21620,106,NaN
1675443300,21623,21636,21600,21602,88,NaN
1675443600,21602,21613,21598,21608,70,NaN
1675443900,21609,21614,21594,21596,66,NaN
1675444200,21596,21608,21586,21594,96,NaN
1675444500,21594,21611,21594,21611,62,NaN
1675444800,21606,21621,21603,21618,50,NaN
1675445100,21616,21624,21608,21612,72,NaN
1675445400,21614,21623,21606,21610,33,NaN
1675445700,21611,21621,21609,21617,34,NaN
1675446000,21617,21619,21609,21609,26,NaN
1675446300,21610,21615,21594,21595,47,NaN
1675446600,21591,21601,21578,21581,33,NaN
1675446900,21580,21584,21554,21554,91,NaN
1675447200,21553,21560,21551,21558,26,NaN
1675447500,21557,21557,21542,21544,67,NaN
1675447800,21541,21547,21532,21539,166,NaN
1675448100,21541,21548,21526,21534,180,NaN
1675448400,21530,21536,21516,21525,105,NaN
1675448700,21528,21529,21516,21519,52,NaN
1675449000,21515,21518,21503,21510,162,NaN
1675449300,21509,21529,21505,21521,147,NaN
1675449600,21523,21524,21498,21500,157,NaN
1675449900,21497,21526,21490,21526,340,NaN
1675450200,21527,21562,21526,21553,176,NaN
1675450500,21552,21560,21543,21547,101,NaN
1675646100,21350,21427,21344,21354,3850,NaN
1675646400,21357,21369,21288,21288,2429,NaN
1675646700,21288,21326,21264,21318,1996,NaN
1675647000,21316,21332,21212,21212,7433,NaN
1675647300,21213,21286,21187,21188,4672,NaN
1675647600,21189,21269,21169,21230,4224,NaN
1675647900,21230,21270,21201,21220,2664,NaN
1675648200,21220,21261,21185,21249,2649,NaN
1675648500,21253,21363,21230,21356,3587,NaN
1675648800,21356,21378,21295,21371,2952,NaN
1675649100,21374,21389,21295,21300,2307,NaN
1675649400,21302,21331,21272,21275,1831,NaN
